Soil age	Mean depth	aliphaticCH	aromaticCC	amiquiket	carboxylateCO	C	N	C:N	N:P	C:N:P	P	d15N	d13C	rootC input	Al	Fe	Mg	Si	Fe total:DCB	Al total:DCB	Ti:Zr	Fe:Si	Clay	Silt	Sand	CEC	BSat	pH	TRB	BS:CEC	BS:pH	CEC:Clay
3	5	5.50	1.92	7.68	1.35	0.37	0.03	13.65	0.00003	0.02	767.58	3.20	-27.70	1.24	981.96	9519.90	419.82	1341.67	3.71	66.15	19.62	0.12	9.14	62.63	28.23	13.40	109.37	6.60	14.66	8.16	16.57	1.47
3	20	-0.55	1.95	37.20	0.65	0.12	0.01	13.57	0.00002	0.03	398.85	4.39	-26.43	0.27	914.53	10353.47	598.26	1398.86	3.82	80.29	14.22	0.13	12.93	69.19	17.88	9.90	116.59	6.20	11.54	11.78	18.80	0.77
19	5	5.13	0.89	21.62	0.70	0.22	0.02	10.38	0.00003	0.01	692.83	7.75	-27.03	0.27	1056.59	6554.04	836.72	2273.64	7.59	86.90	26.85	0.14	11.17	64.30	24.53	24.70	81.14	5.90	19.85	3.29	13.75	2.21
19	20	5.68	4.11	58.36	-0.40	0.07	0.01	10.45	0.00001	0.02	554.52	5.72	-26.20	1.79	1258.47	7158.52	1131.91	3071.02	6.39	84.66	24.42	0.16	17.39	69.26	13.35	20.80	95.45	6.00	20.04	4.59	15.91	1.20
19	5	2.94	0.73	10.09	1.06	0.39	0.03	11.65	0.00005	0.02	692.83	7.60	-27.05	0.27	1056.59	6554.04	836.72	2273.64	7.59	86.90	26.85	0.14	11.17	64.30	24.53	24.70	81.14	5.90	19.85	3.29	13.75	2.21
19	20	1.70	0.05	22.56	0.82	0.23	0.02	10.62	0.00004	0.02	554.52	5.46	-26.15	1.79	1258.47	7158.52	1131.91	3071.02	6.39	84.66	24.42	0.16	17.39	69.26	13.35	20.80	95.45	6.00	20.04	4.59	15.91	1.20
19	5	3.28	0.61	6.12	1.37	0.59	0.05	12.84	0.00007	0.02	692.83	5.23	-27.56	0.27	1056.59	6554.04	836.72	2273.64	7.59	86.90	26.85	0.14	11.17	64.30	24.53	24.70	81.14	5.90	19.85	3.29	13.75	2.21
19	20	0.47	2.23	54.51	-0.28	0.09	0.01	8.93	0.00002	0.02	554.52	5.40	-26.28	1.79	1258.47	7158.52	1131.91	3071.02	6.39	84.66	24.42	0.16	17.39	69.26	13.35	20.80	95.45	6.00	20.04	4.59	15.91	1.20
295	5	5.55	4.45	13.87	0.07	0.21	0.02	10.46	0.00008	0.04	269.94	3.30	-29.20	1.10	721.69	6202.93	120.61	1065.09	2.93	88.49	13.82	0.05	13.65	50.32	36.03	4.60	103.65	6.10	4.77	22.53	16.99	0.34
295	20	-7.29	16.51	85.65	-1.29	0.05	0.01	8.57	0.00004	0.06	134.96	5.76	-26.99	0.27	608.05	6513.88	62.80	711.06	2.82	106.78	14.60	0.05	18.96	53.31	27.73	2.10	131.21	5.80	2.76	62.48	22.62	0.11
295	5	6.76	6.13	21.85	-0.11	0.15	0.02	9.60	0.00006	0.04	269.94	4.20	-29.10	1.10	721.69	6202.93	120.61	1065.09	2.93	88.49	13.82	0.05	13.65	50.32	36.03	4.60	103.65	6.10	4.77	22.53	16.99	0.34
295	20	-4.47	14.66	75.07	-0.93	0.05	0.01	8.61	0.00004	0.06	134.96	5.67	-27.34	0.27	608.05	6513.88	62.80	711.06	2.82	106.78	14.60	0.05	18.96	53.31	27.73	2.10	131.21	5.80	2.76	62.48	22.62	0.11
295	5	7.60	3.85	14.92	0.17	0.21	0.02	10.92	0.00007	0.04	269.94	4.10	-29.20	1.10	721.69	6202.93	120.61	1065.09	2.93	88.49	13.82	0.05	13.65	50.32	36.03	4.60	103.65	6.10	4.77	22.53	16.99	0.34
295	20	1.78	13.03	74.24	-0.73	0.05	0.01	8.86	0.00004	0.07	134.96	5.74	-27.41	0.27	608.05	6513.88	62.80	711.06	2.82	106.78	14.60	0.05	18.96	53.31	27.73	2.10	131.21	5.80	2.76	62.48	22.62	0.11
3000	5	1.66	14.69	54.58	-0.37	0.09	0.01	9.56	0.00003	0.03	370.45	7.22	-27.13	0.69	1315.67	13563.31	60.04	834.33	1.70	22.28	10.86	0.06	11.12	68.07	20.81	4.50	58.29	4.70	2.62	12.95	12.40	0.40
3000	20	0.98	18.25	70.29	-0.37	0.07	0.01	8.71	0.00002	0.02	412.96	7.02	-26.83	0.41	1404.35	13534.78	31.07	775.38	1.87	26.15	10.13	0.06	18.29	69.23	12.48	2.10	85.31	4.30	1.79	40.62	19.84	0.11
3000	5	3.42	10.19	38.26	-0.03	0.12	0.01	12.12	0.00003	0.03	370.45	7.26	-27.48	0.69	1315.67	13563.31	60.04	834.33	1.70	22.28	10.86	0.06	11.12	68.07	20.81	4.50	58.29	4.70	2.62	12.95	12.40	0.40
3000	20	-0.23	18.23	71.39	-0.46	0.07	0.01	8.27	0.00002	0.02	412.96	7.75	-26.59	0.41	1404.35	13534.78	31.07	775.38	1.87	26.15	10.13	0.06	18.29	69.23	12.48	2.10	85.31	4.30	1.79	40.62	19.84	0.11
3000	5	4.51	7.14	24.12	0.22	0.17	0.02	11.29	0.00004	0.03	370.45	6.57	-28.12	0.69	1315.67	13563.31	60.04	834.33	1.70	22.28	10.86	0.06	11.12	68.07	20.81	4.50	58.29	4.70	2.62	12.95	12.40	0.40
3000	20	-0.31	16.80	69.70	-0.61	0.07	0.01	9.64	0.00002	0.02	412.96	6.87	-26.74	0.41	1404.35	13534.78	31.07	775.38	1.87	26.15	10.13	0.06	18.29	69.23	12.48	2.10	85.31	4.30	1.79	40.62	19.84	0.11
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
